special_terms,model,rank,similarity,case_id,judgment_summary
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,1,0.7265480160713196,218749,
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,2,0.7144671678543091,103297,가. 부동산의 임대차에 있어서의 보증금은 연체된 임료등 임대차로 인한 일체의 임대인의 채권을 담보하기 위하여 임차인으로부터 임대인에게 교부되는 금전으로서 임대차기간이 종료하여 임대인이 목적물을 반환받을 때에는 명백하고도 명시적인 반대의 약정이 없는 한 임대차로 인한 임대인의 모든 채권액은 보증금으로부터 당연히 공제된다. 나. 임차인과 임대인 사이에 임차인이 월임료를 2회 이상 지급하지 아니하였을 때는 기한의 이익을 상실하고 임차인은 임대인에게 임대기한에 관계없이 임대목적물을 즉시 명도하기로 하는 내용의 제소전화해가 있었더라도 기한의 이익의 상실로 인한 임대인의 명도청구권은 임대인의 권리이지 의무가 아니므로 임차인이 월임료를 2회 지급하지 아니하였을 때 임대인이 위 화해조서에 기하여 즉시 명도집행을 할 수 있음에도 불구하고 즉시 명도집행을 하지 아니하였다 하여 그 사유만으로 2개월분의 임료를 넘는 임료부분을 보증금에서 공제할 수 없는 것은 아니다.
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,3,0.7072826027870178,191525,임대차기간이 만료되기 6개월 전에 임대인에 대하여 임대차계약을 해지한다고 하면서 임대차보증금을 반환해 줄 것을 통지한 임차인의 의사표시에 임대차기간이 만료되는 경우를 위한 갱신거절의 의사표시 및 임차목적물이 양도되는 경우를 위한 임대차관계의 승계배제의 의사표시가 포함되어 있는지 여부와 그 후 그 의사표시가 철회되지 않았는지 여부에 대한 심리미진의 위법이 있다는 이유로 원심판결을 파기한 사례.
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,4,0.7035073041915894,120826,"[1] 임차인이 목욕탕을 임차하여 영업을 한 경우에 임대차 종료시 관할 관청에 그에 대한 폐업신고를 하여야 할 의무는 임차인으로서 임대인에 대하여 부담하는 원상회복의무에는 포함된다고 할 것이나, 건물의 명도란 건물에서 점유자의 물품을 반출한 후 점유를 이전하는 것을 의미하므로 임차인이 폐업신고를 하지 않았다고 하여 목욕탕이 명도되지 않았다고 볼 수는 없으며, 임차인이 선풍기 등 일부 물품만을 남겨둔 채 목욕탕에 대한 점유를 임대인에게 이전하였다면 그 시점에서 목욕탕의 명도는 이루어졌다고 할 것이고, 임차인의 폐업신고 의무는 임대인의 임차보증금 반환의무와 동일한 법률관계로부터 생긴 것이어서 공평의 관념에 비추어 볼 때 동시이행의 관계에 있다 할 것이다. [2] 환경개선부담금은 환경개선을 위한 투자재원을 합리적으로 조달하기 위하여 대기오염물질 또는 수질오염물질을 배출하는 건물 기타 시설물에 대하여 부과되는 것인데 그 부과의 근거가 되는 환경개선비용부담법 제9조 제1항에서는 ""환경부장관은 유통·소비과정에서 환경오염물질의 다량 배출로 인하여 환경오염의 직접적인 원인이 되는 건물 기타 시설물의 소유자 또는 점유자로부터 환경개선부담금을 부과·징수한다.""라고 규정하여 시설물의 소유자뿐만이 아니라 점유자도 환경개선부담금의 부과대상자임을 명시하고 있고, 교통유발부담금은 도시교통의 원활한 유통과 교통편의의 증진을 위하여 도로교통을 유발하는 시설물에 대하여 부과되는 것인데, 그 부과의 근거가 되는 도시교통정비촉진법 제21조 제1항에서는 ""시장 등은 도시교통정비지역 안에서 교통유발의 원인이 되는 시설물의 소유자 또는 사업의 경영자로부터 교통유발부담금을 부과·징수할 수 있다.""라고 규정하여 시설물의 소유자뿐만이 아니라 당해 시설을 점유하면서 사업을 경영하는 자도 교통유발부담금의 부과대상자임을 명시하고 있으므로, 환경개선부담금과 교통유발부담금을 목욕탕을 경영하는 임차인에게 부담하도록 하는 임대차계약 약관이 약관의규제에관한법률 제6조 제2항 제1호 소정의 고객에게 부당하게 불리한 조항에 해당하여 무효라고 볼 수 없다."
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,5,0.7012304067611694,605337,"[1] 부동산임대차에서 임차인이 임대인에게 지급하는 임대차보증금은 임대차관계가 종료되어 목적물을 반환하는 때까지 그 임대차관계에서 발생하는 임차인의 모든 채무를 담보하는 것으로서, 임대인의 임대차보증금 반환의무는 임대차관계가 종료되는 경우에 그 임대차보증금 중에서 목적물을 반환받을 때까지 생긴 연체차임 등 임차인의 모든 채무를 공제한 나머지 금액에 관하여서만 비로소 이행기에 도달한다. [2] 임대차 존속 중 차임을 연체하는 경우 그 채권의 소멸시효는, 임대차 종료 후 목적물 인도 시에 임대차보증금에서 일괄 공제하는 방식에 의하여 정산하기로 약정한 경우와 같은 특별한 사정이 없는 한 임대차계약에서 정한 지급기일부터 진행한다. [3] 민법 제495조에 따라 소멸시효가 완성된 채권이 그 완성 전에 상계할 수 있었던 것이면 채권자는 상계할 수 있다. 이는 ‘자동채권의 소멸시효 완성 전에 양 채권이 상계적상에 이르렀을 것’을 요건으로 하는 것인데, 임대인의 임대차보증금 반환채무는 임대차계약이 종료된 때에 비로소 이행기에 도달하므로, 임대차 존속 중 차임채권의 소멸시효가 완성된 경우에는 소멸시효 완성 전에 임대인이 임대차보증금 반환채무에 관한 기한의 이익을 실제로 포기하였다는 등의 특별한 사정이 없는 한 양 채권이 상계할 수 있는 상태에 있었다고 할 수 없다. 그러므로 그 이후에 임대인이 이미 소멸시효가 완성된 차임채권을 자동채권으로 삼아 임대차보증금 반환채무와 상계하는 것은 민법 제495조에 따르더라도 인정될 수 없다. 그러나 임대차 존속 중 차임이 연체되고 있음에도 임대차보증금에서 연체차임을 충당하지 않고 있었던 임대인의 신뢰와 차임연체 상태에서 임대차관계를 지속해 온 임차인의 묵시적 의사를 감안하면, 그 연체차임은 민법 제495조를 유추적용하여 임대차보증금에서 공제할 수는 있다고 봄이 타당하다."
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,6,0.6953920125961304,168106,"임대차보증금이 임대인에게 교부되어 있더라도 임대인은 임대차관계가 계속되고 있는 동안에는 임대차보증금에서 연체차임을 충당할 것인지를 자유로이 선택할 수 있으므로, 임대차계약 종료 전에는 연체차임이 공제 등 별도의 의사표시 없이 임대차보증금에서 당연히 공제되는 것은 아니다. 그리고 임대인이 차임채권을 양도하는 등의 사정으로 인하여 차임채권을 가지고 있지 아니한 경우에는 특별한 사정이 없는 한 임대차계약 종료 전에 임대차보증금에서 공제한다는 의사표시를 할 수 있는 권한이 있다고 할 수도 없다."
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,7,0.6941152811050415,194725,"[1] 임대차계약이 중도에 해지되어 종료하면 임차인은 목적물을 원상으로 회복하여 반환하여야 하는 것이고, 임대인의 귀책사유로 임대차계약이 해지되었다고 하더라도 임차인은 그로 인한 손해배상을 청구할 수 있음은 별론으로 하고 원상회복의무를 부담하지 않는다고 할 수는 없다. [2] 임차인이 자신의 영업을 위하여 설치한 시설에 관한 비용을 임대인에게 청구하지 않기로 약정한 사정만으로 원상복구의무를 부담하지 아니하기로 하는 합의가 있었다고 볼 수 없고, 임대차계약서상 기재된 임차인의 원상복구의무에 관한 조항이 단지 부동문자로 남아 있는 무의미한 내용에 불과하다고 볼 수 없다고 한 사례."
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,8,0.6934701800346375,68198,
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,9,0.6934304237365723,67567,
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,10,0.6920824646949768,193797,"주택임대차보호법 제3조의3 규정에 의한 임차권등기는 이미 임대차계약이 종료하였음에도 임대인이 그 보증금을 반환하지 않는 상태에서 경료되게 되므로, 이미 사실상 이행지체에 빠진 임대인의 임대차보증금의 반환의무와 그에 대응하는 임차인의 권리를 보전하기 위하여 새로이 경료하는 임차권등기에 대한 임차인의 말소의무를 동시이행관계에 있는 것으로 해석할 것은 아니고, 특히 위 임차권등기는 임차인으로 하여금 기왕의 대항력이나 우선변제권을 유지하도록 해 주는 담보적 기능만을 주목적으로 하는 점 등에 비추어 볼 때, 임대인의 임대차보증금의 반환의무가 임차인의 임차권등기 말소의무보다 먼저 이행되어야 할 의무이다."
